"","Project","Site","Collection_no","Phytotron_ID..Ap_GXL.","Species..varying.ID.sources...Bernice.if.different.from.original.ID.","Locale","State","Extractor","DNA.extracted","RAD_lane","Barcode_well","Qubit.quantification..ng.ul.","Total.amt..ng.","Box","order"
"330","Pop genomics","RC","14","","rudis","Raleigh Chambers","NC","SHC","8/28/14","ddRAD4","A6",8.67,303.45,"1",29
"331","Pop genomics","RC","15","","rudis","Raleigh Chambers","NC","SHC","8/28/14","ddRAD5","C5",7.49,262.15,"1",27
"332","Pop genomics","RC","16","","rudis","Raleigh Chambers","NC","SHC","8/28/14","ddRAD5","A4",9.67,338.45,"1",15
"334","Phyt","RW","3","25-A","picea","Rugar Woods, SUNY Plattsburgh","NY","","","ddRAD3","B4",NA,NA,"Frozen",42
"335","Phyt","RW","5","25-D","picea","Rugar Woods, Plattsburgh","NY","SHC","9/7/14","ddRAD8","C11",13.2,462,"1",44
"343","Phyt","Seb","8","22-B","picea","Sebago Lake State Park","ME","","","ddRAD3","C1",NA,NA,"EtOH",7
"344","Phyt","SEB","9","22-C","picea","Sebago Lake State Park","ME","SHC","7/7/14","ddRAD1","A5",NA,NA,"",NA
"347","ANBE","SHC","1","","fulva","Lexington","VA","Skye L","11/13/14","ddRAD4","A12",12.5,437.5,"1",91
"348","ANBE","SHC","2","","rudis","Lexington","VA","Skye L","11/21/14","ddRAD4","C1",14.9,521.5,"2",3
"350","ANBE","SHC","5","","rudis","Lexington","VA","SHC","9/7/14","ddRAD5","C6",13.4,469,"1",49
"351","ANBE","SHC","6","","rudis","Lexington","VA","SHC","10/2/14","ddRAD5","B8",7.25,253.75,"1",64
"352","ANBE","SHC","7","","rudis","Lexington","VA","Skye L","10/16/14","ddRAD9","A4",6.29,220.15,"1",77
"353","ANBE","SHC","8","","rudis","Lexington","VA","SHC & Skye L","10/24/14","ddRAD5","B11",6.74,235.9,"1",88
"355","ANBE","SHC","10","","rudis","Lexington","VA","Skye L","11/21/14","ddRAD4","D1",15.6,546,"2",4
"390","ANBE","ted","3","","picea","East Woods","VT","","","ddRAD7","B7",NA,NA,"Frozen",11
"391","ANBE","ted","4","","picea","East Woods","VT","","","ddRAD7","C5",NA,NA,"Frozen",23
"392","ANBE","ted","6","","picea","East Woods","VT","Skye L","11/21/14","ddRAD5","A1",25.1,878.5,"2",5
"397","Pop genomics","UNF","4","","rudis","Uwharrie National Forest","NC","","","ddRAD8","C7",NA,NA,"Frozen",62
"399","Pop genomics","UNF","7","","miamiana","Uwharrie National Forest","NC","SHC","8/28/14","ddRAD4","C6",9.01,315.35,"1",31
"400","Phyt","UNF","8","04-A","rudis","Uwharrie National Forest, Troy","NY","","","ddRAD3","A6",NA,NA,"Frozen",32
"401","Phyt","UNF","9","04-B","rudis","Uwharrie National Forest","NC","SHC","","ddRAD2","A1",NA,NA,"",NA
"403","Phyt","WP","3","11-C","fulva","William Penn","PA","SHC","8/6/14","ddRAD2","C7",NA,NA,"",NA
"406","Phyt","WP","6","11-D","rudis","William Penn","PA","SHC","7/9/14","ddRAD1","B12",NA,NA,"",NA
"408","Phyt","WP","9","11-A","rudis","William Penn","PA","SHC","7/7/14","ddRAD1","A6",NA,NA,"",NA
"414","ANBE","Yates","2","","rudis","Yates Mill","NC","","","ddRAD7","C2",NA,NA,"Frozen",4
"415","ANBE","Yates","3","","rudis","Yates Mill","NC","Skye L","10/2/14","ddRAD5","B7",14.6,511,"1",56
